"targets","layer","name","description","fld_value","units","clip_n_ship_disag","clip_n_ship_disag_description","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"HAB CS CP","hab_extent","Habitat extent","Modeled combined habitat extent","km2","km^2","raster | area_offshore","","hab_extent_global2014.csv","rgn_id",,"habitat",,"km2",,TRUE,,,99.5506,8685.35,FALSE,,,,4,FALSE
"HAB CS CP","hab_health","Habitat health","Modeled combined habitat health condition trend","health","value","equal","global habitat health was applied equally to all regions. ","hab_health_global2014.csv","rgn_id",,"habitat",,"health",,TRUE,,,0.0199508481299071,0.973168662157,TRUE,,,,4,FALSE
"HAB CS CP","hab_trend","Habitat health trend","Modeled combined habitat health trend","trend","trend score","equal","global trends were applied equally to all regions.","hab_trend_global2014.csv","rgn_id",,"habitat",,"trend",,TRUE,,,-0.159235668789809,1,FALSE,,,,4,FALSE
"ICO","ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","category","category","equal","global status was applied equally to all regions. ","ico_spp_extinction_status_global2014.csv","rgn_id",,"sciname",,,"category",TRUE,,,,,FALSE,,,,4,
"ICO","ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","popn_trend","trend score","equal","global trends were applied equally to all regions.","ico_spp_popn_trend_global2014.csv","rgn_id",,"sciname",,,"popn_trend",TRUE,,,,,FALSE,,,,4,
"LE","le_gdp","GDP","Gross Domestic Product (GDP) data (reported in 2012 US dollars) from The World Bank.

Data sources:

- [The World Bank](data.worldbank.org/indicator/NY.GDP.MKTP.CD)
","usd","2010 USD","population_inland25km","global GDP data were applied to each region after weighting by each region's coastal population.","le_gdp_global2014.csv",,"cntry_key",,"year","usd",,TRUE,1998,2011,688872472.7,1447500000,FALSE,,,,4,FALSE
"LE","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","usd","USD","population_inland25km","","le_gdp_pc_ppp_global2014.csv",,"cntry_key",,"year","usd",,TRUE,1980,2012,1616.117636,7948.75998700014,FALSE,,,,4,FALSE
"LE","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_jobs_cur_adj_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,90.6028368,95.0517220356,FALSE,,,,4,FALSE
"LE","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_jobs_cur_base_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,0,23623.4984327,FALSE,,,,4,FALSE
"LE","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_jobs_ref_adj_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,85.68841638,93.4266555158,FALSE,,,,4,FALSE
"LE","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_jobs_ref_base_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,0,18538.3311951,FALSE,,,,4,FALSE
"LE","le_jobs_sector_year","Jobs","gapfilled","value","jobs","equal","global trends were applied equally to each region. ","le_jobs_sector_year_global2014.csv",,"cntry_key","sector","year","value",,TRUE,1998,2010,0,25361.4669822,FALSE,,,,4,FALSE
"LE","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_rev_cur_adj_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,1213104430,1.349e+09,FALSE,,,,4,FALSE
"LE","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_rev_cur_base_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,0,5.2e+08,FALSE,,,,4,FALSE
"LE","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_rev_ref_adj_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,688872472.7,1276751656,FALSE,,,,4,FALSE
"LE","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","population_inland25km","","le_rev_ref_base_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,0,331041628.485,FALSE,,,,4,FALSE
"LE","le_rev_sector_year","Revenue","gapfilled","value","2010 USD","equal","global trends were applied equally to each region. ","le_rev_sector_year_global2014.csv",,"cntry_key","sector","year","value",,TRUE,1998,2012,0,5.2e+08,FALSE,,,,4,FALSE
"LE","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","usd","USD","population_inland25km","","le_revenue_adj_global2014.csv",,"cntry_key",,"year","usd",,TRUE,1998,2011,688872472.7,1447500000,FALSE,,,,4,FALSE
"LE","le_unemployment","Unemployment","gapfilled","percent","percent unemployed","equal","global unemployment percentages were applied equally to each region. ","le_unemployment_global2014.csv",,"cntry_key",,"year","percent",,TRUE,1998,2010,4.94827796440001,14.31158362,FALSE,,,,4,FALSE
"LE","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","equal","global wage data were applied equally to all regions.","le_wage_cur_adj_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,1,1,TRUE,,,,4,FALSE
"LE","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","equal","global wage data were applied equally to all regions.","le_wage_cur_base_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,12374.0750909923,54415.7584660831,FALSE,,,,4,FALSE
"LE","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","equal","global wage data were applied equally to all regions.","le_wage_ref_adj_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,1,1,TRUE,,,,4,FALSE
"LE","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","equal","global wage data were applied equally to all regions.","le_wage_ref_base_value_global2014.csv",,"cntry_key","sector",,"value",,TRUE,,,8336.14066516398,28600.480785728,FALSE,,,,4,FALSE
"LE","le_wage_sector_year","Wages","gapfilled","value","2010 USD","equal","global wages were applied equally to each region. ","le_wage_sector_year_global2014.csv",,"cntry_key","sector","year","value",,TRUE,1993,2008,307.699285001836,110417.855066504,FALSE,,,,4,FALSE
"LE","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","jobs","jobs","population_inland25km","global workforce data were applied to each region after weighting by each region's coastal population.","le_workforcesize_adj_global2014.csv",,"cntry_key",,"year","jobs",,TRUE,1990,2012,62882.9057199367,139455.755210515,FALSE,,,,4,FALSE
"LE pressures","le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","equal","","le_sector_weight_global2014.csv","rgn_id",,"sector",,"weight",,TRUE,,,1,1,TRUE,,,,4,FALSE
"LIV ECO","le_popn","Total population by subregion","Population data from The World Bank","count","count","equal","","le_popn_global2014.csv","rgn_id",,,"year","count",,TRUE,1960,2012,92068,324060,FALSE,,,,4,FALSE
"LIV ECO","liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach","value","status score","equal","","liveco_status_global2014.csv","rgn_id",,"component",,"value",,TRUE,,,1,1,TRUE,,,,4,FALSE
"LIV ECO","liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach","value","trend score","equal","","liveco_trend_global2014.csv","rgn_id",,"component",,"value",,TRUE,,,0.150209381878356,0.255872554843986,TRUE,,,,4,FALSE
"LSP","lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km from the UN WDPA. 

Data sources:

- United Nations - World Conservation Monitoring Centreâs World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net)","area_km2","km^2","raster | area_inland1km","","lsp_prot_area_inland1km_global2014.csv","rgn_id",,,"year","area_km2",,TRUE,1976,2010,1,109,FALSE,,,,4,FALSE
"LSP","lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal protected areas offshore to 3nm from the UN WDPA. 

Data sources:

- United Nations - World Conservation Monitoring Centreâs World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net)","area_km2","km^2","raster | area_offshore3nm","","lsp_prot_area_offshore3nm_global2014.csv","rgn_id",,,"year","area_km2",,TRUE,1976,2005,2,904,FALSE,,,,4,FALSE
"MAR","mar_coastalpopn_inland25mi","Coastal population inland 25 miles","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","popsum","people","raster","spatial data was extracted for each region. ","mar_coastalpopn_inland25mi_global2014.csv","rgn_id",,,"year","popsum",,TRUE,2005,2015,176730,199335,FALSE,,,,4,FALSE
"MAR","mar_harvest_species","Mariculture species harvested","Lookup table for mariculture: species Latin names and species code. 

Data sources:

- [FAO global aquaculture production](http://www.fao.org/fishery/statistics/global-aquaculture-production/en)","species","species name","equal","global mariculture species were applied equally to each region.","mar_harvest_species_global2014.csv",,,"species_code",,,"species",TRUE,,,,,FALSE,,,,4,
"MAR","mar_harvest_tonnes","Mariculture harvest","Mariculture harvest from the FAO. 

Data sources:

- [FAO global aquaculture production](http://www.fao.org/fishery/statistics/global-aquaculture-production/en)","tonnes","tons","area_offshore_3nm","global mariculture harvest (tonnes) data were applied to each region after weighting by each region's offshore area to 3nm. ","mar_harvest_tonnes_global2014.csv","rgn_id",,"species_code","year","tonnes",,TRUE,2003,2012,0,11040,FALSE,,,,4,FALSE
"MAR","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability and mariculture regulations indicated by the Mariculture Sustainability Index (MSI). 

Data sources:

- Trujillo P. (2008). **Using a mariculture sustainability index to rank countriesâ performances**. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countriesâ Exclusive Economic Zones, Alder J, Pauly D, editors. _Fisheries Centre Research Report_, vol. 16(7) p. 28â56.","sust_coeff","sustainability","equal","global mariculture sustainability scores were applied equally to each region.","mar_sustainability_score_global2014.csv","rgn_id",,"species",,"sust_coeff",,TRUE,,,0.37,0.444010417,TRUE,,,,4,FALSE
"MAR","mar_trend_years","Mariculture years used for trend","Mariculture years used for trend","trend_yrs","year string","equal","global trends were applied equally to each region.","mar_trend_years_global2014.csv","rgn_id",,,,,"trend_yrs",TRUE,,,,,FALSE,,,,4,
"NP","np_blast","Areas of observed blast (dynamite) fishing","The presence of destructive artisanal blast fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](www.wri.org/publication/reefs-at-risk-revisited) 
","score","pressure score","equal","global scores were applied equally to each region. ","np_blast_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.182184126332102,0.182184126332102,TRUE,,,,4,FALSE
"NP","np_cyanide","Areas of observed poison fishing","The presence of destructive artisanal poison (cyanide) fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](www.wri.org/publication/reefs-at-risk-revisited) 
","score","pressure score","equal","global scores were applied equally to each region. ","np_cyanide_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.168334869165867,0.168334869165867,TRUE,,,,4,FALSE
"NP","np_harvest_product_weight","Ratio of product peak harvest value (in 2010 USD) divided by sum of all product peak harvest values, per region","Ratio of harvest of of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","weight","score","equal","global weights were applied equally to each region. ","np_harvest_product_weight_global2014.csv","rgn_id",,"product",,"weight",,TRUE,,,1,1,TRUE,,,,4,FALSE
"NP","np_harvest_tonnes","Harvest yield of marine natural products, smoothed","Yield in metric tonnes of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","tonnes","metric tonnes","area_offshore_3nm","global harvest (tonnes) was applied to each region after weighting by each region's offshore area to 3nm. ","np_harvest_tonnes_global2014.csv","rgn_id",,"product","year","tonnes",,TRUE,1995,2011,0,64,FALSE,,,,4,FALSE
"NP","np_harvest_tonnes_relative","Harvest ratio to peak yeild of marine natural products","Ratio to max yield (tonnes) of product peak for six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","tonnes_rel","score","equal","global scores were applied equally to each region. ","np_harvest_tonnes_relative_global2014.csv","rgn_id",,"product","year","tonnes_rel",,TRUE,1995,2011,0,1,TRUE,,,,4,FALSE
"NP","np_harvest_usd","Harvest value of marine natural products, smoothed","Value in 2010 US dollars of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)
","usd","2010 USD","equal","global harvest (usd), used as a weighting score, was applied equally to all regions. ","np_harvest_usd_global2014.csv","rgn_id",,"product","year","usd",,TRUE,1995,2011,15.75,112,FALSE,,,,4,FALSE
"NP","np_harvest_usd_relative","Harvest ratio to peak value of marine natural products","Ratio to max value (2010 USD) of product peak of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)
","usd_rel","score","equal","global scores were applied equally to each region. ","np_harvest_usd_relative_global2014.csv","rgn_id",,"product","year","usd_rel",,TRUE,1995,2011,0.216346153846154,1,TRUE,,,,4,FALSE
"pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)","pressure_score","pressure score","raster | equal","","cc_acid_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.886045,0.886045,TRUE,,,,4,FALSE
"pressures","cc_slr","Sea level rise","Modeled sea level rise (Nicholls and Cazenave 2010).

Data sources:

- Nicholls R.J. and Cazenave A. (2010). **Sea-level rise and its impact on coastal zones**. _Science_ 328: 1517-1520. [doi:10.1126/science.1185782](http://dx.doi.org/10.1126/science.1185782). 
- [AVISO Satellite Altimetry Data](http://www.aviso.oceanobs.com/en/news/ocean-indicators/mean-sea-level/processing-corrections.html)","pressure_score","pressure score","raster | equal","","cc_slr_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.130156900399879,0.130156900399879,TRUE,,,,4,FALSE
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea surface temperature (Halpern et al. 2008) based on temperature anomolies provided by GHRSST and the US National Oceanographic Data Center.

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
- [AVHRR Pathfinder Version 5.0 SST data](http://pathfinder.nodc.noaa.gov) 
- Casey, K.S., Brandon, T.B., Cornillon, P., and Evans, R. (2010). **The Past, Present and Future of the AVHRR Pathfinder SST Program**, _Oceanography from Space: Revisited_, eds. V. Barale, J.F.R. Gower, and L. Alberotanza, Springer. [doi:10.1007/978-90-481-8681-5_16](http://dx.doi.org/10.1007/978-90-481-8681-5_16) ","pressure_score","pressure score","raster | equal","","cc_sst_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.172625907638687,0.172625907638687,TRUE,,,,4,FALSE
"pressures","cc_uv","UV radiation","Modeled UV radiation (Halpern et al. 2008) based on Erythemal UV Irradiance data provided by GES DISC.

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
- [Goddard Earth Sciences Data and Information Services Center (GES DISC)](http://disc.sci.gsfc.nasa.gov/data-holdings/PIP/erythemal_uv_irradiance.shtml)
","pressure_score","pressure score","raster | equal","","cc_uv_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.733063461674848,0.733063461674848,TRUE,,,,4,FALSE
"pressures","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](www.wri.org/publication/reefs-at-risk-revisited) ","pressures.score","pressure score","equal","global pressures data were applied equally to all regions.","fp_art_hb_global2014.csv","rgn_id",,,,"pressures.score",,TRUE,,,0.0320958635766238,0.0320958635766238,TRUE,,,,4,FALSE
"pressures","fp_art_lb","Low bycatch caused by artisanal fishing ","Modeled low bycatch artisanal fishing using non-destructive practices (Halpern et al. 2008) based on FAO fisheries statistics.

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","pressure_score","pressure score","equal","global pressures data were applied equally to all regions.","fp_art_lb_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.175452681481331,0.175452681481331,TRUE,,,,4,FALSE
"pressures","fp_com_hb","High bycatch caused by commercial fishing ","Modeled destructive commercial fishing practices by 5 different gear types (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","pressure_score","pressure score","equal","global pressures data were applied equally to all regions.","fp_com_hb_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.0416735264638196,0.0416735264638196,TRUE,,,,4,FALSE
"pressures","fp_com_lb","Low bycatch caused by commercial fishing ","Modeled least destructive commercial fishing practices by 2 different gear types (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","pressure_score","pressure score","equal","global pressures data were applied equally to all regions.","fp_com_lb_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.0195745172401989,0.0195745172401989,TRUE,,,,4,FALSE
"pressures","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from FAO fisheries data.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","score","pressure score","equal","global pressures data were applied equally to all regions.","fp_targetharvest_global2014.csv","rgn_id",,,,"score",,TRUE,,,0,0,TRUE,,,,4,FALSE
"pressures","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population, defined as the total population inland of 10 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)
","pressure_score","pressure score","population_inland25km","global intertidal pressures were applied to each region after weighting by each region's coastal population.","hd_intertidal_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.0571966,0.0571966,TRUE,,,,4,FALSE
